Wall time,Step,Value
1700879400.228626,0,10.224495887756348
1700879547.1740015,1,6.175353050231934
1700879694.1425345,2,5.5282368659973145
1700879841.879307,3,5.15464448928833
1700879989.7027316,4,4.797879219055176
1700880205.235122,5,4.508270263671875
1700880352.534434,6,4.323043346405029
1700880500.0906434,7,4.133798122406006
1700880647.7223358,8,4.012905120849609
1700880795.2507749,9,3.8623719215393066
1700881012.9438818,10,3.7626302242279053
1700881160.259126,11,3.6642065048217773
1700881308.172847,12,3.522052764892578
1700881455.9108155,13,3.4820871353149414
1700881603.3252127,14,3.377411365509033
1700881820.889159,15,3.2762060165405273
1700881968.1649485,16,3.2578251361846924
1700882116.0531738,17,3.1815192699432373
1700882263.3857367,18,3.129432439804077
1700882410.768671,19,3.0606424808502197
1700882628.5869093,20,3.023681640625
1700882776.2496097,21,2.9269354343414307
1700882924.3926375,22,2.9838078022003174
1700883072.3952389,23,2.918797254562378
1700883220.3875403,24,2.8156352043151855
1700883438.5188355,25,2.800995349884033
1700883585.6715026,26,2.751939535140991
1700883732.7754993,27,2.7578606605529785
1700883880.2642112,28,2.7172746658325195
1700884027.5437324,29,2.6600654125213623
1700884244.7236063,30,2.6808555126190186
1700884391.7694767,31,2.633256196975708
1700884539.287551,32,2.615255832672119
1700884686.9248939,33,2.5469024181365967
1700884834.8460262,34,2.559284210205078
1700885052.2266412,35,2.5076677799224854
1700885199.5381513,36,2.483654022216797
1700885347.408088,37,2.47601318359375
1700885495.033934,38,2.4372799396514893
1700885642.9828024,39,2.4243760108947754
1700885861.2925138,40,2.3429207801818848
1700886009.2668657,41,2.2066800594329834
1700886157.6456008,42,2.201458692550659
1700886306.3261344,43,2.1568167209625244
1700886454.538086,44,2.1766197681427
1700886672.0406342,45,2.1163570880889893
1700886820.0368884,46,2.1337783336639404
1700886968.2479334,47,2.0815536975860596
1700887116.5398214,48,2.080425977706909
1700887264.8674212,49,2.097003698348999
1700887481.2028003,50,2.0949792861938477
1700887628.9217782,51,2.0727007389068604
1700887777.15569,52,2.067805290222168
1700887925.0673938,53,2.0715794563293457
1700888073.40498,54,2.033566474914551
1700888290.1378639,55,2.03762149810791
1700888437.9982905,56,2.0367047786712646
1700888585.8764672,57,2.0142903327941895
1700888733.830998,58,2.0050899982452393
1700888881.8161433,59,1.9904043674468994
1700889099.1809623,60,1.9801205396652222
1700889247.1369133,61,1.98310124874115
1700889395.0688224,62,2.0180859565734863
1700889543.1522403,63,1.998405933380127
1700889691.194063,64,1.9641128778457642
1700889909.552321,65,2.000354528427124
1700890057.5075583,66,1.9725607633590698
1700890205.804667,67,1.9843024015426636
1700890354.3725805,68,2.0021605491638184
1700890502.5811718,69,1.972337007522583
1700890720.2910032,70,1.9782624244689941
1700890868.6614826,71,1.9756957292556763
1700891017.79342,72,1.9944169521331787
1700891166.3269284,73,1.9758694171905518
1700891316.2544312,74,1.9745932817459106
1700891535.3295038,75,1.9668015241622925
1700891683.906099,76,1.9611495733261108
1700891832.5462518,77,1.9753735065460205
1700891981.0362527,78,1.9961203336715698
1700892129.863036,79,1.9613940715789795
