Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Fine-tuning Pre-trained Model,25,57.786,1.4094158188461343,59.87,1.3720392
Fine-tuning Pre-trained Model,26,57.916,1.4066437040753377,59.65,1.3740404
Fine-tuning Pre-trained Model,27,57.968,1.4048499490903772,59.98,1.370725
Fine-tuning Pre-trained Model,28,57.818,1.4072570764195278,59.84,1.3716047
Fine-tuning Pre-trained Model,29,57.904,1.4093046432260967,59.69,1.3712226
Fine-tuning Pre-trained Model,30,57.758,1.4063052338407473,59.64,1.3711317
Fine-tuning Pre-trained Model,31,57.886,1.4064716792777372,59.72,1.3723292
Fine-tuning Pre-trained Model,32,57.762,1.406711885996182,59.76,1.3717382
Fine-tuning Pre-trained Model,33,57.976,1.4064060169107773,59.7,1.3728075
Fine-tuning Pre-trained Model,34,57.724,1.4084481796645143,59.67,1.371393
Fine-tuning Pre-trained Model,35,58.046,1.406017541885376,59.77,1.369588
Fine-tuning Pre-trained Model,36,58.046,1.4052079757461158,59.84,1.3727134
Fine-tuning Pre-trained Model,37,57.95,1.4055717409114399,60.0,1.3682106
Fine-tuning Pre-trained Model,38,58.226,1.4051530800207193,59.96,1.3694414
Fine-tuning Pre-trained Model,39,58.126,1.4068476321447232,59.75,1.3728802
Fine-tuning Pre-trained Model,40,57.772,1.4080094964912786,59.77,1.3740909
Fine-tuning Pre-trained Model,41,57.974,1.4049292348534859,59.91,1.3704336
Fine-tuning Pre-trained Model,42,57.938,1.402477731180313,59.8,1.3701698
Fine-tuning Pre-trained Model,43,57.872,1.4069342186383884,59.72,1.3716948
Fine-tuning Pre-trained Model,44,57.936,1.403234650106991,59.85,1.3721623
Fine-tuning Pre-trained Model,45,58.222,1.4044695135272678,59.43,1.3741571
Fine-tuning Pre-trained Model,46,58.266,1.4052888002541974,59.59,1.3731248
Fine-tuning Pre-trained Model,47,57.664,1.4087337840853444,59.34,1.3745967
Fine-tuning Pre-trained Model,48,57.978,1.4084371621041651,59.72,1.3736199
Fine-tuning Pre-trained Model,49,58.248,1.3998244592295888,59.77,1.3733895
Fine-tuning Pre-trained Model,50,58.0,1.4086228462741197,59.82,1.3708956
Fine-tuning Randomly Initialized Model,1,28.838,2.0946436339936905,34.75,1.8939552
Fine-tuning Randomly Initialized Model,2,33.698,1.9328995854653361,36.38,1.8679241
Fine-tuning Randomly Initialized Model,3,35.472,1.895658068644726,38.18,1.8264883
Fine-tuning Randomly Initialized Model,4,36.238,1.8793784169589771,39.67,1.8181838
Fine-tuning Randomly Initialized Model,5,36.886,1.8639776599986473,39.84,1.8120276
Fine-tuning Randomly Initialized Model,6,37.574,1.8531740172134945,40.39,1.79731
Fine-tuning Randomly Initialized Model,7,37.998,1.8439622096088537,40.92,1.7907122
Fine-tuning Randomly Initialized Model,8,38.526,1.8355558074038962,40.73,1.7872609
Fine-tuning Randomly Initialized Model,9,38.594,1.8279974228890656,41.39,1.7754704
Fine-tuning Randomly Initialized Model,10,39.28,1.8172970860815414,41.02,1.7841727
Fine-tuning Randomly Initialized Model,11,40.91,1.7901560421794882,42.94,1.7446132
Fine-tuning Randomly Initialized Model,12,41.47,1.7714578376706605,43.25,1.7388613
Fine-tuning Randomly Initialized Model,13,41.646,1.7693728675013003,43.4,1.7340982
Fine-tuning Randomly Initialized Model,14,41.772,1.7629436086815642,43.91,1.7327709
Fine-tuning Randomly Initialized Model,15,42.256,1.7573579534545274,44.18,1.7269382
Fine-tuning Randomly Initialized Model,16,42.496,1.7546778935605607,43.95,1.7259384
Fine-tuning Randomly Initialized Model,17,42.806,1.7466561532081546,44.07,1.7255274
Fine-tuning Randomly Initialized Model,18,42.61,1.7450236435741415,44.23,1.7220494
Fine-tuning Randomly Initialized Model,19,42.91,1.7417557419413496,44.47,1.7151637
Fine-tuning Randomly Initialized Model,20,43.094,1.7397357826037785,44.66,1.7171137
Fine-tuning Randomly Initialized Model,21,43.038,1.735099372351566,44.49,1.7178037
Fine-tuning Randomly Initialized Model,22,42.794,1.7391874171278972,44.8,1.7156031
Fine-tuning Randomly Initialized Model,23,43.596,1.7315376466497436,44.71,1.7134776
Fine-tuning Randomly Initialized Model,24,43.516,1.7321914733218415,44.63,1.7156215
Fine-tuning Randomly Initialized Model,25,43.456,1.7338379776996116,44.59,1.7140545
Fine-tuning Randomly Initialized Model,26,43.54,1.7312111256982359,44.65,1.7122818
Fine-tuning Randomly Initialized Model,27,43.666,1.7294477748748895,44.57,1.7124137
Fine-tuning Randomly Initialized Model,28,43.274,1.7321460149477206,44.63,1.7128174
Fine-tuning Randomly Initialized Model,29,43.394,1.730062406691139,44.82,1.7122915
Fine-tuning Randomly Initialized Model,30,43.87,1.7261425162215367,44.46,1.7122469
Fine-tuning Randomly Initialized Model,31,43.378,1.727839786378319,44.69,1.711967
Fine-tuning Randomly Initialized Model,32,43.514,1.72757656921816,44.86,1.7095243
Fine-tuning Randomly Initialized Model,33,43.628,1.7266592964186998,44.71,1.7099438
Fine-tuning Randomly Initialized Model,34,43.672,1.7300171696621438,44.7,1.7101249
Fine-tuning Randomly Initialized Model,35,43.772,1.7234631438389458,44.88,1.7094516
Fine-tuning Randomly Initialized Model,36,43.598,1.7310215490858267,44.8,1.7117155
Fine-tuning Randomly Initialized Model,37,43.348,1.7270420618984095,44.52,1.7129306
Fine-tuning Randomly Initialized Model,38,43.658,1.7270657994863017,44.51,1.7117528
Fine-tuning Randomly Initialized Model,39,43.988,1.725447912350335,44.6,1.7115855
Fine-tuning Randomly Initialized Model,40,43.66,1.7283426730529121,44.59,1.7139052
Fine-tuning Randomly Initialized Model,41,43.744,1.7292763833194742,44.58,1.7123793
Fine-tuning Randomly Initialized Model,42,43.54,1.729098824283961,44.67,1.7123383
Fine-tuning Randomly Initialized Model,43,43.712,1.7294645224080976,44.54,1.7130746
Fine-tuning Randomly Initialized Model,44,43.602,1.7275368301459895,44.69,1.7107935
Fine-tuning Randomly Initialized Model,45,43.752,1.7306648700133613,44.59,1.7135985
Fine-tuning Randomly Initialized Model,46,43.294,1.7299280282481553,44.6,1.713582
Fine-tuning Randomly Initialized Model,47,43.672,1.730605441591014,44.75,1.7111971
Fine-tuning Randomly Initialized Model,48,43.21,1.7328943505006678,44.72,1.711037
Fine-tuning Randomly Initialized Model,49,43.478,1.7313246583694692,44.9,1.7101631
Fine-tuning Randomly Initialized Model,50,43.43,1.7303974104049566,44.72,1.7117003
Supervised Pre-trained Model,1,58.442,1.4059051226472001,69.7,1.202002
Supervised Pre-trained Model,2,70.202,1.1720477025527174,73.15,1.1225835
Supervised Pre-trained Model,3,73.64,1.095695452769394,74.9,1.0779777
Supervised Pre-trained Model,4,76.246,1.0385143499240241,76.69,1.0292567
Supervised Pre-trained Model,5,77.272,1.0126781745639908,76.34,1.0435352
Supervised Pre-trained Model,6,78.848,0.9798790707307703,78.22,1.0026155
Supervised Pre-trained Model,7,79.932,0.9554721310620418,77.71,1.010404
Supervised Pre-trained Model,8,80.95,0.9351652735639411,78.29,0.99931055
Supervised Pre-trained Model,9,81.434,0.921359482323727,80.05,0.9556317
Supervised Pre-trained Model,10,82.33,0.9073532952372071,80.5,0.94867986
Supervised Pre-trained Model,11,85.542,0.8262717568356058,83.2,0.8827769
Supervised Pre-trained Model,12,86.458,0.8080062501875641,83.72,0.87618715
Supervised Pre-trained Model,13,86.858,0.7984086778157812,83.52,0.8731224
Supervised Pre-trained Model,14,87.376,0.7887458578704873,83.9,0.86913085
Supervised Pre-trained Model,15,87.44,0.7842219758521566,84.19,0.8693702
Supervised Pre-trained Model,16,87.63,0.780619009986253,84.07,0.86763895
Supervised Pre-trained Model,17,87.75,0.7772590324396977,84.11,0.86550266
Supervised Pre-trained Model,18,88.046,0.7690708157046676,84.03,0.86651504
Supervised Pre-trained Model,19,88.218,0.7665019082596235,84.51,0.8619616
Supervised Pre-trained Model,20,88.534,0.7617594252157089,84.33,0.8637949
Supervised Pre-trained Model,21,88.812,0.7509659117140124,84.47,0.86017156
Supervised Pre-trained Model,22,89.014,0.7500733925253534,84.64,0.8581043
Supervised Pre-trained Model,23,88.992,0.7497918101222923,84.65,0.8577293
Supervised Pre-trained Model,24,89.19,0.7477176308327014,84.55,0.85874385
Supervised Pre-trained Model,25,88.892,0.7509924658119221,84.74,0.85728484
Supervised Pre-trained Model,26,88.928,0.7506943207872493,84.57,0.85829645
Supervised Pre-trained Model,27,89.132,0.7463838576965625,84.66,0.8577054
Supervised Pre-trained Model,28,89.044,0.748230843135463,84.72,0.85840535
Supervised Pre-trained Model,29,89.258,0.7463362357195686,84.56,0.8581087
Supervised Pre-trained Model,30,89.302,0.7456085540144645,84.51,0.8572321
Supervised Pre-trained Model,31,89.162,0.7460777190945033,84.67,0.85628706
Supervised Pre-trained Model,32,89.472,0.7424385861667526,84.57,0.85708493
Supervised Pre-trained Model,33,89.25,0.744225514514367,84.59,0.8581725
Supervised Pre-trained Model,34,89.268,0.743475273594527,84.53,0.85753095
Supervised Pre-trained Model,35,89.226,0.7449777019603173,84.55,0.8568529
Supervised Pre-trained Model,36,89.296,0.7445003425373751,84.58,0.8574155
Supervised Pre-trained Model,37,89.466,0.7428343299099857,84.61,0.85769427
Supervised Pre-trained Model,38,89.322,0.7434227798905824,84.65,0.85780334
Supervised Pre-trained Model,39,89.262,0.7427005394340476,84.66,0.8560916
Supervised Pre-trained Model,40,89.384,0.7419971820643491,84.64,0.857807
Supervised Pre-trained Model,41,89.524,0.7409026718810391,84.62,0.85769516
Supervised Pre-trained Model,42,89.384,0.7428860164359402,84.53,0.8590604
Supervised Pre-trained Model,43,89.386,0.7440596634469678,84.58,0.8575637
Supervised Pre-trained Model,44,89.248,0.7440055271853572,84.65,0.85796016
Supervised Pre-trained Model,45,89.402,0.7429426701172538,84.54,0.8572664
Supervised Pre-trained Model,46,89.328,0.7433793165189836,84.69,0.85755926
Supervised Pre-trained Model,47,89.14,0.7463258510965216,84.55,0.8593788
Supervised Pre-trained Model,48,89.066,0.7443909379832275,84.64,0.85701424
