Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Self-Supervise Rotation Model,1,44.306,1.2728073453659292,50.91,1.1193546
Self-Supervise Rotation Model,2,52.482,1.1000620282214622,55.59,1.0276629
Self-Supervise Rotation Model,3,55.736,1.0310040424242044,56.64,1.0100396
Self-Supervise Rotation Model,4,58.364,0.9830056901478097,60.71,0.9312009
Self-Supervise Rotation Model,5,60.446,0.939589251947525,61.43,0.91205347
Self-Supervise Rotation Model,6,62.148,0.9082485502943054,62.37,0.9126294
Self-Supervise Rotation Model,7,63.132,0.8879851926013332,64.76,0.852276
Self-Supervise Rotation Model,8,64.252,0.8644553035726328,66.39,0.81067044
Self-Supervise Rotation Model,9,65.152,0.8433139731207162,66.45,0.8023457
Self-Supervise Rotation Model,10,66.12,0.8249757855444613,67.39,0.79321635
Self-Supervise Rotation Model,11,67.024,0.8061085238176233,66.94,0.7892039
Self-Supervise Rotation Model,12,67.486,0.79661777104868,67.68,0.78187144
Self-Supervise Rotation Model,13,68.284,0.7780716108239215,70.28,0.72446734
Self-Supervise Rotation Model,14,69.618,0.7565778455770839,71.14,0.7175389
Self-Supervise Rotation Model,15,70.22,0.743512664914436,71.55,0.70993644
Self-Supervise Rotation Model,16,72.888,0.6830288269330779,74.62,0.63521045
Self-Supervise Rotation Model,17,74.076,0.6565838324291932,75.31,0.6264063
Self-Supervise Rotation Model,18,74.13,0.649826545697039,75.54,0.61881
Self-Supervise Rotation Model,19,74.68,0.640500721419254,75.42,0.6132945
Self-Supervise Rotation Model,20,74.884,0.633805866893905,76.04,0.6092554
Self-Supervise Rotation Model,21,75.282,0.626107406128398,76.15,0.6036296
Self-Supervise Rotation Model,22,75.302,0.6238426866433809,76.28,0.6039768
Self-Supervise Rotation Model,23,75.698,0.6163085478041178,76.68,0.5966205
Self-Supervise Rotation Model,24,75.64,0.6134192618110296,76.78,0.58881956
Self-Supervise Rotation Model,25,76.056,0.6082958924343519,77.27,0.585349
Self-Supervise Rotation Model,26,76.342,0.5997818391341383,77.07,0.5806992
Self-Supervise Rotation Model,27,76.38,0.5983724072766121,77.26,0.574938
Self-Supervise Rotation Model,28,76.516,0.5955758578789508,77.35,0.5705371
Self-Supervise Rotation Model,29,76.994,0.5873179003558195,77.15,0.5701103
Self-Supervise Rotation Model,30,77.03,0.5864881748890938,77.77,0.5652168
Self-Supervise Rotation Model,31,77.446,0.5744181908762364,77.55,0.56421965
Self-Supervise Rotation Model,32,77.594,0.5746658849136909,78.01,0.564528
Self-Supervise Rotation Model,33,77.408,0.5726108748437194,78.34,0.56036377
Self-Supervise Rotation Model,34,77.72,0.5694313111055233,78.23,0.5550922
Self-Supervise Rotation Model,35,77.464,0.5724293337301221,77.73,0.56796634
Self-Supervise Rotation Model,36,77.808,0.5682337503603963,77.95,0.55792814
Self-Supervise Rotation Model,37,77.632,0.5707150708379038,78.27,0.5547863
Self-Supervise Rotation Model,38,77.714,0.569541001792454,78.38,0.55216515
Self-Supervise Rotation Model,39,77.816,0.5676440734540105,78.47,0.5546483
Self-Supervise Rotation Model,40,77.784,0.5678919008015977,78.28,0.5562331
Self-Supervise Rotation Model,41,77.97,0.5676385568993171,78.02,0.5523032
Self-Supervise Rotation Model,42,77.724,0.567151199216428,78.24,0.55283946
Self-Supervise Rotation Model,43,77.892,0.5634760949617762,78.01,0.5545976
Self-Supervise Rotation Model,44,77.702,0.5673197574170349,78.78,0.5539119
Self-Supervise Rotation Model,45,78.02,0.5637251842204872,78.44,0.5497979
Fine-tuning Pre-trained Model,1,40.508,1.5965946007262715,47.4,1.4645733
