Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Self-Supervise Rotation Model,1,43.87,1.3442449746534342,51.18,1.4050086
Self-Supervise Rotation Model,2,51.824,1.2155622996942466,54.32,1.1924441
Self-Supervise Rotation Model,3,55.416,1.1750088606953926,56.25,1.1731404
Self-Supervise Rotation Model,4,57.626,1.1477068574227336,58.2,1.1424571
Self-Supervise Rotation Model,5,59.836,1.123757774262782,61.85,1.0974894
Self-Supervise Rotation Model,6,61.482,1.1060608256503444,62.43,1.0966693
Self-Supervise Rotation Model,7,62.718,1.0909304935913866,61.37,1.0990797
Self-Supervise Rotation Model,8,64.05,1.0764651510416698,64.89,1.0595794
Self-Supervise Rotation Model,9,64.702,1.0659033060073853,64.42,1.0730857
Self-Supervise Rotation Model,10,65.764,1.0520091122373596,67.1,1.0324508
Self-Supervise Rotation Model,11,66.75,1.0415092630459524,67.45,1.0335044
Self-Supervise Rotation Model,12,67.732,1.0295270361253976,68.57,1.0175287
Self-Supervise Rotation Model,13,68.34,1.0221485843134048,70.71,0.9903004
Self-Supervise Rotation Model,14,69.482,1.009682277889203,71.38,0.9857277
Self-Supervise Rotation Model,15,69.964,1.0016860506113838,71.63,0.9817743
Self-Supervise Rotation Model,16,73.23,0.961671931054586,74.65,0.93833107
Self-Supervise Rotation Model,17,74.146,0.9493609633287201,75.57,0.9272309
Self-Supervise Rotation Model,18,74.518,0.9434034932604836,75.66,0.9271708
Self-Supervise Rotation Model,19,75.054,0.9380770787558592,76.33,0.9207364
Self-Supervise Rotation Model,20,75.24,0.9337601196735411,76.2,0.9203558
Self-Supervise Rotation Model,21,75.562,0.9309503356818958,76.76,0.9111259
Self-Supervise Rotation Model,22,75.78,0.9256143481530192,75.6,0.9197007
Self-Supervise Rotation Model,23,76.056,0.923033383191394,76.68,0.90967953
Self-Supervise Rotation Model,24,76.218,0.9210893810557588,76.83,0.90856445
Self-Supervise Rotation Model,25,76.694,0.916555693539817,77.32,0.9087456
Self-Supervise Rotation Model,26,76.704,0.9145959887053351,77.11,0.9052813
Self-Supervise Rotation Model,27,76.878,0.9129566208785757,77.55,0.90258086
Self-Supervise Rotation Model,28,77.154,0.9077663124369844,77.68,0.90106666
Self-Supervise Rotation Model,29,77.282,0.9073231915378814,78.12,0.8974501
Self-Supervise Rotation Model,30,77.584,0.9053246362130051,78.14,0.89432615
Self-Supervise Rotation Model,31,77.978,0.8972449724936424,78.61,0.89102966
Self-Supervise Rotation Model,32,78.048,0.8973132626479848,78.57,0.89113885
Self-Supervise Rotation Model,33,77.95,0.8965183574220409,78.33,0.88850206
Self-Supervise Rotation Model,34,78.066,0.894580566669669,78.3,0.89155924
Self-Supervise Rotation Model,35,78.13,0.8947405418776491,78.37,0.8897627
Self-Supervise Rotation Model,36,78.254,0.8945906323850003,78.16,0.89144385
Self-Supervise Rotation Model,37,78.508,0.8932970571700874,78.55,0.88774455
Self-Supervise Rotation Model,38,78.398,0.8918650260056986,78.7,0.8877461
Self-Supervise Rotation Model,39,78.414,0.8919079149775493,78.46,0.8876611
Self-Supervise Rotation Model,40,78.45,0.8912720652797338,78.4,0.8895891
Self-Supervise Rotation Model,41,78.5,0.890589699568346,78.29,0.88777447
Self-Supervise Rotation Model,42,78.506,0.8913035411054216,78.72,0.8849295
Self-Supervise Rotation Model,43,78.412,0.8912285746210982,78.65,0.8862948
Self-Supervise Rotation Model,44,78.566,0.8893168641783088,78.05,0.8898335
Self-Supervise Rotation Model,45,78.476,0.8911965504631667,78.82,0.88260067
Fine-tuning Pre-trained Model,1,41.112,1.8703559039498838,47.87,1.7644985
Fine-tuning Pre-trained Model,2,48.852,1.7509165919955125,53.22,1.6844147
Fine-tuning Pre-trained Model,3,50.572,1.722717180581349,54.28,1.6656452
Fine-tuning Pre-trained Model,4,51.61,1.7071618439291445,53.48,1.6829411
Fine-tuning Pre-trained Model,5,52.406,1.6944805606246909,55.3,1.6574247
Fine-tuning Pre-trained Model,6,52.89,1.6855502409093521,55.37,1.640908
Fine-tuning Pre-trained Model,7,53.428,1.676873444596215,55.45,1.6459938
Fine-tuning Pre-trained Model,8,53.512,1.6736210877328273,55.77,1.6393466
Fine-tuning Pre-trained Model,9,54.088,1.6639893804974568,55.73,1.6446021
Fine-tuning Pre-trained Model,10,54.576,1.6604854697766511,57.02,1.6122088
Fine-tuning Pre-trained Model,11,56.314,1.6262193253583006,58.46,1.5848672
Fine-tuning Pre-trained Model,12,56.892,1.6154050955077266,58.95,1.5786914
Fine-tuning Pre-trained Model,13,57.122,1.613293366663901,59.19,1.5738235
Fine-tuning Pre-trained Model,14,57.32,1.608634274329066,59.04,1.5771241
Fine-tuning Pre-trained Model,15,57.36,1.609382530917292,59.08,1.5731356
Fine-tuning Pre-trained Model,16,57.446,1.6071826932985154,59.29,1.5721604
Fine-tuning Pre-trained Model,17,57.358,1.6057964185314715,59.27,1.5689803
Fine-tuning Pre-trained Model,18,57.39,1.6052148887873305,59.57,1.5707788
Fine-tuning Pre-trained Model,19,57.63,1.6037101779142608,59.66,1.5667454
Fine-tuning Pre-trained Model,20,57.698,1.5999020118542644,59.72,1.570581
Fine-tuning Pre-trained Model,21,57.938,1.5966357794564094,59.73,1.5682125
Fine-tuning Pre-trained Model,22,58.128,1.5941675892266471,59.8,1.5649562
Fine-tuning Pre-trained Model,23,58.01,1.5937145814261473,59.56,1.5659449
Fine-tuning Pre-trained Model,24,58.21,1.5936548773894834,59.99,1.5630827
Fine-tuning Pre-trained Model,25,58.134,1.5922992089215446,59.74,1.5642605
Fine-tuning Pre-trained Model,26,58.31,1.592855678799817,59.79,1.5632455
Fine-tuning Pre-trained Model,27,58.132,1.5927184304922744,59.62,1.5665374
Fine-tuning Pre-trained Model,28,58.148,1.5934258867102815,59.67,1.565123
Fine-tuning Pre-trained Model,29,57.962,1.5931480482716085,59.8,1.565088
Fine-tuning Pre-trained Model,30,58.05,1.592771063070468,59.52,1.5676817
Fine-tuning Pre-trained Model,31,58.308,1.5901838870304625,59.49,1.5659698
Fine-tuning Pre-trained Model,32,58.252,1.5904010317819504,59.67,1.5660851
Fine-tuning Pre-trained Model,33,58.108,1.593040874547056,59.89,1.5645508
Fine-tuning Pre-trained Model,34,58.484,1.5904542869314209,59.9,1.5634335
Fine-tuning Pre-trained Model,35,57.88,1.5945270427352631,59.7,1.5652269
Fine-tuning Pre-trained Model,36,58.15,1.5923127917682423,59.72,1.563353
Fine-tuning Pre-trained Model,37,58.34,1.5911080404315763,59.69,1.5641716
Fine-tuning Pre-trained Model,38,58.224,1.592231322432418,59.77,1.5642608
Fine-tuning Pre-trained Model,39,58.15,1.5930687920821598,60.08,1.5631958
Fine-tuning Pre-trained Model,40,58.082,1.5920938704629688,59.94,1.5632031
Fine-tuning Pre-trained Model,41,58.068,1.5926709641580996,60.01,1.5637139
Fine-tuning Pre-trained Model,42,58.558,1.5896342681801838,59.78,1.5635984
Fine-tuning Pre-trained Model,43,58.196,1.593478146416452,59.88,1.563575
Fine-tuning Pre-trained Model,44,58.384,1.5918917448624321,59.66,1.5661943
