Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Self-Supervise Rotation Model,1,40.98,1.6013839421674723,49.14,1.6572659
Self-Supervise Rotation Model,2,49.882,1.3850243786716705,51.99,1.4147487
Self-Supervise Rotation Model,3,53.048,1.3346317015645448,55.14,1.3421091
Self-Supervise Rotation Model,4,55.348,1.3014311561803988,57.41,1.3034574
Self-Supervise Rotation Model,5,57.068,1.2775162934037425,59.58,1.2884239
Self-Supervise Rotation Model,6,58.298,1.2560087021659403,60.58,1.2217587
Self-Supervise Rotation Model,7,59.82,1.2330970931845857,60.46,1.2472277
Self-Supervise Rotation Model,8,60.726,1.21443850274586,62.56,1.2086433
Self-Supervise Rotation Model,9,62.038,1.1940917108979676,62.95,1.196868
Self-Supervise Rotation Model,10,63.158,1.1803779595953119,65.36,1.1470532
Self-Supervise Rotation Model,11,64.274,1.1585526975524394,65.13,1.1549969
Self-Supervise Rotation Model,12,65.63,1.1348114753013376,67.4,1.1074001
Self-Supervise Rotation Model,13,66.706,1.1164617573513704,68.42,1.0861174
Self-Supervise Rotation Model,14,68.206,1.089948602649562,69.69,1.0593631
Self-Supervise Rotation Model,15,69.122,1.0751681411662675,69.93,1.053989
Self-Supervise Rotation Model,16,72.7,1.0079016452250273,74.64,0.9647368
Self-Supervise Rotation Model,17,73.862,0.9878866161836688,75.96,0.94630986
Self-Supervise Rotation Model,18,74.446,0.9748683757794178,75.61,0.95232433
Self-Supervise Rotation Model,19,74.746,0.9679641440091535,76.64,0.93816096
Self-Supervise Rotation Model,20,74.918,0.9659803011228362,76.42,0.9345998
Self-Supervise Rotation Model,21,75.46,0.9556229628260483,76.73,0.9358485
Self-Supervise Rotation Model,22,75.286,0.9584238893540619,76.76,0.9283757
Self-Supervise Rotation Model,23,75.624,0.951871835667154,76.98,0.9295796
Self-Supervise Rotation Model,24,76.04,0.9452062034241074,77.39,0.9184655
Self-Supervise Rotation Model,25,76.17,0.9431614230965715,77.74,0.91044724
Self-Supervise Rotation Model,26,76.126,0.9428113586152606,77.95,0.9090858
Self-Supervise Rotation Model,27,76.272,0.9393109676173276,78.82,0.900472
Self-Supervise Rotation Model,28,76.85,0.9297846281315054,77.95,0.9048988
Self-Supervise Rotation Model,29,76.988,0.9268046872085317,78.37,0.9011325
Self-Supervise Rotation Model,30,77.242,0.9216712920562081,78.63,0.89577276
Self-Supervise Rotation Model,31,77.366,0.9186634028049381,79.22,0.88605386
Self-Supervise Rotation Model,32,78.026,0.9111864604913366,79.24,0.8860927
Self-Supervise Rotation Model,33,77.778,0.9109872978971437,79.05,0.88302416
Self-Supervise Rotation Model,34,77.832,0.9119410316657532,79.04,0.8891889
Self-Supervise Rotation Model,35,77.732,0.911552004649511,78.81,0.8876441
Self-Supervise Rotation Model,36,78.114,0.9076972260804432,78.86,0.88646156
Self-Supervise Rotation Model,37,77.794,0.9109325491253982,79.69,0.87960076
Self-Supervise Rotation Model,38,77.948,0.9093318900183949,79.73,0.88512367
Self-Supervise Rotation Model,39,78.008,0.9088097103416463,79.25,0.88375854
Self-Supervise Rotation Model,40,78.172,0.9082082974941225,79.77,0.8773691
Self-Supervise Rotation Model,41,77.98,0.9067412625493296,79.55,0.8815008
Self-Supervise Rotation Model,42,78.01,0.9086858354261159,79.69,0.87703955
Self-Supervise Rotation Model,43,78.374,0.899803568487582,79.6,0.87741935
Self-Supervise Rotation Model,44,77.894,0.9065244568278418,79.43,0.8890536
Self-Supervise Rotation Model,45,78.188,0.9053690096606379,79.45,0.88143444
Self-Supervise Rotation Model,46,78.226,0.9031739090104847,79.47,0.8801038
Self-Supervise Rotation Model,47,78.088,0.9052563741079072,79.51,0.87919647
Self-Supervise Rotation Model,48,78.162,0.9053160136617968,79.87,0.8809561
Self-Supervise Rotation Model,49,78.062,0.9038132096800353,79.51,0.87849724
Self-Supervise Rotation Model,50,78.13,0.901410419770214,79.47,0.87724596
Fine-tuning Pre-trained Model,1,41.39,1.7518204688416112,48.29,1.6137121
Fine-tuning Pre-trained Model,2,48.846,1.609475560810255,51.95,1.538397
Fine-tuning Pre-trained Model,3,50.562,1.570489376097384,53.93,1.5130844
Fine-tuning Pre-trained Model,4,52.082,1.5436229333853173,54.22,1.5043732
Fine-tuning Pre-trained Model,5,52.574,1.5271210301562648,54.16,1.4945098
Fine-tuning Pre-trained Model,6,53.634,1.5135794957275586,55.99,1.4691212
Fine-tuning Pre-trained Model,7,54.008,1.5010557135047815,55.56,1.4729972
Fine-tuning Pre-trained Model,8,54.656,1.4908809472837716,55.52,1.4809347
Fine-tuning Pre-trained Model,9,54.694,1.4868122061805042,56.1,1.4705946
Fine-tuning Pre-trained Model,10,55.25,1.4773430967574839,56.93,1.4442762
